year,qty,amount
1998-99,153956147,164320009.3
1990-00,167291409,163034658.3
2000-01,288002838,300991121.5
2001-02,243355583,243493681.2
2002-03,297727705,269256284.5
2003-04,343817080,341428936
2004-05,337777653,395479932.8
2005-06,461027865,595914484.7
2006-07,494536428,712959038.9
2007-08,484494552,880031325
2008-09,463727810,1054435653
2009-10,495538017,1157853342
2010-11,726718053,1889873801
2011-12,987714460,2869359220
2012-13,1108662354,3203207842
2013-14,1451941749,4352792202
2014-15,1476309784,4782237959
2015-16,1314533593,4069683278
2016-17,1323576113,3911974871
2017-18,1350563485,4036892655
2018-19,1236638398,3608721539
2019-20,1152547306,3175087082
2020-21,1085619929,3171190290
2021-22,1175193019,3303340192
