year,state,port,qty,amount
2010-11,Maharashtra,NHAVA SHEVA SEA,481667681,1268531820
2010-11,Uttar Pradesh,CFS ALBATROSS/ICD DADRI,13785745,35800557.42
2010-11,Uttar Pradesh,ICD NOIDA-DADRI,150144025,365230394.2
2010-11,UTTAR PRADESH,ICD Juhi Railway Yard Kanpur ICD,0,0
2010-11,Uttar Pradesh,"ICD PANKI, UP",0,0
2010-11,HARYANA,ICD Piyala Ballagarh ICD,0,0
2010-11,Haryana,"ICD PALWAL, BHAGOLA-JANAULI Haryana",0,0
2010-11,Tamil Nadu,CHENNAI SEA,2600346,6320266.78
2010-11,Haryana,ICD PATLI,0,0
2010-11,Andhra Pradesh,VISAKHAPATNAM SEA,0,0
2010-11,Delhi,DELHI AIRPORT,8600,32714.28
2010-11,HARYANA,ICD SONIPAT ICD,0,0
2010-11,Uttar Pradesh,ICD CGML DADRI,6792398,17911544.76
2010-11,West Bengal,DABGRAM ICD,0,0
2010-11,Tamil Nadu,KATTUPALLI PORT/ TIRUVALLUR SEA,0,0
2010-11,Uttar Pradesh,ICD CFS STARTRACK DADRI,9888226,25327461.52
2010-11,West Bengal,JAIGAON ICD,0,0
2010-11,West Bengal,KOLKATA SEA,2500,6737.67
2010-11,Uttar Pradesh,LUCKNOW AIR Uttar Pradesh,0,0
2010-11,Rajasthan,MAHINDRA CITY TEXTILES SEZ TN,0,0
2010-11,Andhra Pradesh,KRISHNAPATNAM SEA,0,0
2010-11,Bihar,RAXAUL ICD,0,0
2010-11,Telangana,ICD HYDERABAD,391752,1020624.86
2010-11,Maharashtra,MUMBAI AIR,157072,414388.31
2010-11,Gujarat,MUNDRA SEA,0,0
2010-11,Uttar Pradesh,NAUTANWA (SONAULI) ICD,10000,16541.4
2010-11,Kerala,COCHIN SEA,76000,227107.46
2010-11,Tamil Nadu,CHENNAI AIR,0,0
2010-11,Gujarat,ICD SABARMATI,0,0
2010-11,Tamil Nadu,TUTICORIN SEA,0,0
2010-12,Telangana,HYDERABAD AIRPORT,18426,60911.87
2010-12,Tamil Nadu,ICD TONDIAR-PET CHENNAI,0,0
2010-12,Kerala,TRIVANDRUM AIRPORT,1287,1460.18
2010-12,Maharashtra,ICD JANORI,0,0
2010-12,Maharashtra,ICD WALUJ,0,0
2010-12,Punjab,"ATTARIROAD,AMRITSAR ROAD/ RAILWAY",267744,499526.04
2010-12,Punjab,CFS DAPPER(DERABASSI),0,0
2010-12,Punjab,ICD CHOWPAYAL Punjab,0,0
2010-12,Gujarat,PIPAVAB(VICYOR) SEA,105480,397532.47
2010-12,Haryana,ICD FARIDABAD,16823882,42726043.97
2010-12,Haryana,ICD GARHIHARSARU,37873577,108509383.4
2010-12,Bihar,BAIRGANIA Bihar,0,0
2010-12,Bihar,JOGBANI ROAD ICD,0,0
2010-12,Karnataka,NEWMANGALORE SEA,3930,11149.19
2010-12,Kerala,COCHIN AIRPORT,8453,29265.8
2010-12,Gujarat,"HAZIRA PORT, SURAT SEZ",0,0
2010-12,Uttar Pradesh,SONBARSA ROAD/ RAILWAY,0,0
2010-12,Uttarakhand,TANAKPUR (NAINATAL) ICD,0,0
2010-12,Uttar Pradesh,ICD TRIDENT DADRI,0,0
2010-12,Uttar Pradesh,ICD PAKWARA (MORADABAD),295356,1085384.91
2010-12,UTTAR PRADESH,ICD Pakwara Moradabad/Meerut ICD,0,0
2010-12,UNSPECIFIED,UNSPECIFIED,551614,1482156.43
2010-12,Uttar Pradesh,GOURIPHANTA ROAD/ RAILWAY,0,0
2010-12,Uttar Pradesh,ICD IBRAHIMPUR KHURJA Uttar Pradesh,0,0
2010-12,Uttar Pradesh,ICD KANPUR,3608315,9940058.93
2010-12,Uttar Pradesh,ICD LONI,1635544,4290617.75
2010-12,West Bengal,NEPALGANJ ROAD/ RAILWAY,100,151.6
2010-12,West Bengal,PETRAPOLE LAND ROAD/ RAILWAY,0,0
2005-06,Maharashtra,NHAVA SHEVA SEA,593093,781505.35
2005-06,Haryana,ICD GARHIHARSARU,0,0
2005-06,Haryana,ICD FARIDABAD,0,0
