state_name,district_name,"upto_two_year
s",used_for_breeding_only,used_for_agricultur,agriculture_and_breeding,bullock_cart_farm_operations,others_male,total_male,under_one_year,one_to_three_years,in_milk,dry,not_calved_once,others_female,total_female,total
Andaman And Nicobar Islands,Nicobars,3,3,1,15,0,0,22,5,5,8,7,2,0,27,49
Andaman And Nicobar Islands,North And Middle Andama,129,213,737,493,14,31,1617,161,140,303,362,20,14,1000,2617
Andaman And Nicobar Islands,South Andamans,120,33,42,73,12,3,283,154,159,258,150,28,2,751,1034
Andhra Pradesh,Anantapur,11294,2041,3516,1145,2038,948,20982,65192,49388,100956,32483,11465,4977,264461,285443
Andhra Pradesh,Chittoor,5936,728,480,327,345,289,8105,19077,15162,28976,10323,4124,913,78575,86680
Andhra Pradesh,East Godavari,18318,4178,4463,2568,1774,789,32090,130448,106411,222035,59254,23288,11720,553156,585246
Andhra Pradesh,Guntur,44182,4531,4293,2157,1210,1519,57892,192258,177602,291477,81452,46755,34911,824455,882347
Andhra Pradesh,Krishna,37579,3741,2434,1724,644,1273,47395,149715,138161,229374,67708,26352,11068,622378,669773
Andhra Pradesh,Kurnool,17525,1523,2153,966,845,471,23483,94466,78167,144410,56960,16919,5450,396372,419855
Andhra Pradesh,Prakasam,47484,5503,4175,1782,1486,1995,62425,219263,185619,327197,81722,33232,17193,864226,926651
Andhra Pradesh,Spsr Nellore,46371,4889,2415,1485,1194,1750,58104,173734,143801,249185,81503,28167,11335,687725,745829
Andhra Pradesh,Srikakulam,4108,650,1804,791,1186,147,8686,9374,7220,15751,4377,2575,498,39795,48481
Andhra Pradesh,Visakhapatanam,15423,3491,16107,2780,1356,762,39919,68480,60139,108867,24942,11643,4856,278927,318846
Andhra Pradesh,Vizianagaram,7431,1441,5744,1928,1249,1056,18849,28472,24333,42566,11506,6642,3490,117009,135858
Andhra Pradesh,West Godavari,27776,4629,3727,2246,1585,1560,41523,142066,117553,224535,55629,29098,17505,586386,627909
Andhra Pradesh,Y.S.R.,34668,3044,2110,1502,1071,1374,43769,107808,91292,161366,54278,20962,7106,442812,486581
Arunachal Pradesh,Changlang,186,104,149,17,13,9,478,92,118,87,45,27,2,371,849
Arunachal Pradesh,East Kameng,10,1,0,1,0,9,21,2,3,26,1,1,10,43,64
Arunachal Pradesh,East Siang,22,7,100,6,20,17,172,4,27,4,28,13,24,100,272
Arunachal Pradesh,Lohit,193,48,212,79,43,48,623,137,149,261,160,105,31,843,1466
Arunachal Pradesh,Lower Dibang Valley,139,24,194,17,6,22,402,170,189,316,163,105,22,965,1367
Arunachal Pradesh,Lower Subansiri,17,5,0,0,0,0,22,13,22,11,6,2,0,54,76
Arunachal Pradesh,NAMSAI,6,0,11,0,0,0,17,2,11,4,27,0,0,44,61
Arunachal Pradesh,Papum Pare,159,141,150,152,140,145,887,112,132,152,112,100,136,744,1631
Arunachal Pradesh,Tawang,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2
