state_name,district_name,breed_type_name,upto_one_ and_half_years,used_for_ breeding_only,used_for_ agriculture_only,agriculture_ and_breeding,bullock_car t_farm_operation,others_male,total_male,under_one_ year,one_to_two_and_half_y ears,in_milk,dry,not_calved_ once,others_female,total_femal e,total
Andaman And Nicobar Island,Nicobars,Exotic,0,0,0,0,0,0,0,14,10,15,1,0,0,40,40
Andaman And Nicobar Island,Nicobars,Indigenous(Desi),169,109,45,75,10,58,466,337,362,458,255,64,22,1498,1964
Andaman And Nicobar Island,North And Middle Andaman,Exotic,562,22,35,39,2,12,672,1434,843,2130,1219,206,67,5899,6571
Andaman And Nicobar Island,North And Middle Andaman,Indigenous(Desi),983,177,2033,1104,19,55,4371,1419,806,1508,905,81,57,4776,9147
Andaman And Nicobar Island,South Andamans,Exotic,824,228,20,57,15,22,1166,1440,1571,3057,1448,192,34,7742,8908
Andaman And Nicobar Island,South Andamans,Indigenous(Desi),1368,135,429,236,121,13,2302,1947,1518,2214,1550,251,26,7506,9808
Andhra Pradesh,Anantapur,Exotic,4917,1920,4350,1083,1908,664,14842,47328,37304,89968,25051,7725,3677,211053,225895
Andhra Pradesh,Anantapur,Indigenous(Desi),18088,4061,47627,8408,18173,1833,98190,40434,33106,63745,24142,7570,4020,173017,271207
Andhra Pradesh,Chittoor,Exotic,32614,1994,4241,1224,767,610,41450,178310,141340,352055,83265,22438,10994,788402,829852
Andhra Pradesh,Chittoor,Indigenous(Desi),9835,1281,12993,1333,1288,358,27088,20586,17725,36869,13186,3549,1171,93086,120174
Andhra Pradesh,East Godavari,Exotic,2806,427,588,434,201,56,4512,20814,15840,34927,8212,3929,1793,85515,90027
Andhra Pradesh,East Godavari,Indigenous(Desi),24402,10501,37795,14690,10226,2599,100213,44784,43547,68600,31557,11775,5518,205781,305994
Andhra Pradesh,Guntur,Exotic,951,394,1025,295,202,34,2901,2179,1978,3677,1159,781,457,10231,13132
Andhra Pradesh,Guntur,Indigenous(Desi),6453,1249,29605,1207,1494,481,40489,9474,8139,15216,5661,2497,1319,42306,82795
Andhra Pradesh,Krishna,Exotic,703,176,264,153,205,83,1584,1836,1525,3819,891,330,282,8683,10267
Andhra Pradesh,Krishna,Indigenous(Desi),5106,911,7837,954,2683,569,18060,11981,10703,18038,6464,2137,1196,50519,68579
Andhra Pradesh,Kurnool,Exotic,994,565,1447,360,1191,242,4799,2461,2711,4330,1514,857,531,12404,17203
Andhra Pradesh,Kurnool,Indigenous(Desi),23830,4484,115265,7050,28879,1391,180899,35665,32470,51348,28114,8295,2128,158020,338919
Andhra Pradesh,Prakasam,Exotic,412,96,319,122,173,52,1174,2197,2117,3769,771,219,137,9210,10384
Andhra Pradesh,Prakasam,Indigenous(Desi),4137,789,18157,1474,3168,260,27985,6599,6842,10353,4218,1315,613,29940,57925
Andhra Pradesh,Spsr Nellore,Exotic,1055,186,254,103,114,87,1799,3840,2924,5854,1904,579,308,15409,17208
